link,text,views,date
https://www.tiktok.com/@chula4reals/video/7428216105396604202,"@365CHULA , some dudes still out here wondering if their girl even likes ‘em, and you out here gettin’ head like it’s on the daily agenda. 😏💪 That’s a different level, my guy. You know she invested when it’s routine. Not many dudes can say they’ve got a girl who does that every time without it being a struggle. Most guys wish they could have a situation like yours, where y’all both vibin’ on the same frequency. But don’t get lazy, fam. You gotta keep your side of the routine up too—cuz if you fall off, someone else gon’ step up and scoop that consistency away from you. Handle your business. Don’t fumble the blessing. 👑🔥 #365chula #explore #reels created by IG: @365Chula 💓 with IG: @365Chula 💓’s original sound",44.7K,10-21
https://www.tiktok.com/@angelinamontaldhoe/video/6985973872566881541,Fisherman to OB/GYN real quick #fyp #foryou #foryoupage #fishingtok #fishing #saltwaterfishing #stingray #birth #babies #Summervibes #OOTD #GoOutside created by Angelina Montaldo with David Snell’s Spongebob Tomfoolery - Dante9k Remix,7M,2021-7-17
https://www.tiktok.com/@missbodega/video/7105057532225293610,#question from @missbodega #fyp #new  A woman was giving #head  to A #driver  👅and he crashing in to the #FedEx  #trucks  6/3/22 I hope it was #good created by HOOD NEW’S with HOOD NEW’S’s original sound,22.7K,2022-6-3
https://www.tiktok.com/@maddy.the.mailman/video/7371073874181639466,#fypシ #fyppppppppppppppppppppppp #xyzbcafypシ  created by 👮🏻‍♂️✉️📦 with Katie’s original sound,66K,5-20
https://www.tiktok.com/@melanatedadvice2/video/7125644424499023150,#fypシ #fyp # created by Melanated advice 2 with Ty’s original sound,32.8M,2022-7-29
https://www.tiktok.com/@ruetpwk/video/6941988719322795265,🧍🏼 created by rue🧸✨ with Bartier’s original sound,566.7K,2021-3-21
https://www.tiktok.com/@lefthandedaries/video/7229086881688997163,When giving a quickie goes TF wrong🥴#fyp #colshaextensionsllc  created by Colsha Extensions with Ironhall Gym’s original sound,44.6K,2023-5-3
https://www.tiktok.com/@chula4reals/video/7395296263136234795,He loves to get head in the shower #365chula #podcast #podcastclips #thehushpodcast #fyp created by IG: @365Chula 💓 with IG: @365Chula 💓’s original sound,257.8K,7-24
https://www.tiktok.com/@dkaneeliveclips/video/7398777949975104811,SUCH A PRETTY BADDIE 😍😍😍@Arad 🐺 #arad #baddie #makeup #fypage #xybca  created by 𝓩 (dkanes version 💓) with 𝓩 (dkanes version 💓)’s original sound,720.4K,8-3
https://www.tiktok.com/@theebooblessbabe/video/7180375820383587630,"This is MY journey and it will look different for everyone. Take your time, give yourself grace and space to learn and grow. I had a preventative double mastectomy due to having the BRCA gene that puts me at a higher risk of Breast cancer and other Gynecological cancers.  Want to know more? Check out my pinned video ! #fyp #parati #mastectomy #flatties #afc #aestheticflatclosure #BRCA  created by Theebooblessbabe with RAYE & 070 Shake’s Escapism.",7.5M,2022-12-23
https://www.tiktok.com/@deadarsenotalexa/video/6944801946645581061,it’s ok he was rly nice ab it‼️‼️ created by alexa with Zach’s That one part in Baby Blue,1.4M,2021-3-28
https://www.tiktok.com/@haileythehoodlum/video/6993810376433339653,haha yeah. created by hails with Trippie Redd’s Super Cell,2M,2021-8-7
https://www.tiktok.com/@yallbewildinaf/video/7278631477661748485,An actual respecful guy? 🤨 #fyp #foryou #alt #kinktok  created by I like lavender with Ritzecracker’s Someone cooked here,2.7M,2023-9-14
https://www.tiktok.com/@sativatobossy/video/7323263348760481054, created by Tooassy with I love Lana Del Rey!’s original sound - nailea devora stan,592.9K,1-12
https://www.tiktok.com/@tillyoddyblack/video/7393142208993463559,Its giving shut the hell up #thatfriend #thatgirl #relatable #itsgiving #hangingout #fyp  created by Tilly Oddy-Black with Tilly Oddy-Black’s original sound,836.2K,7-18
https://www.tiktok.com/@chula4reals/video/7338139810688716074,A right girl won't make you lie 😏#365chula #podcast #podcastclips #thehushpodcast #fyp created by IG: @365Chula 💓 with IG: @365Chula 💓’s original sound,4397,2-21
https://www.tiktok.com/@andreaaakarinaaa/video/7300806238592453934,Spend galsgiving with me :)  created by Andrea Karina with ProdMarvin’s Otra Vez,1350,2023-11-12
https://www.tiktok.com/@viperdeme/video/7179874951825067306,fr lol  created by viper demie with hard ahh audios fr🤞’s original sound,104.9K,2022-12-22
https://www.tiktok.com/@petitegracee/video/7109140639945690411,oh no 🙈 created by Grace 👩🏻‍⚕️ with Luke Franchina’s Oh no my throat is bored,14.7K,2022-6-14
https://www.tiktok.com/@amyah__bennett/video/7378570974473506090,We go together now give me a kiss 💋 #familyflawsandall #rewindablemoments #tiktok #tiktokchallenge  created by Amyah_bennett with Sexyy Red’s Fake Jammin,82.1K,6-9
https://www.tiktok.com/@serenideigh/video/6879799295399218433, created by serenideigh with ja’marie🦋’s Favorite Dress P1,1.5M,2020-10-4
https://www.tiktok.com/@hanperks/video/6947986345025473798,oop#LiveForTheChallenge #BOSSUpYourGame #uk #foryou #trending created by H❤️‍🔥 with underrated’s I WISH I HAD A LONGER VERSION SORRY,155K,2021-4-6
https://www.tiktok.com/@tylorandesme/video/7177478340234792238,Giving videos be like #giving #givingback #charity #suprise  created by Tylor and Esme with Bedtime Instrumental Piano Music Academy’s Soft Piano,701.3K,2022-12-15
https://www.tiktok.com/@futuremilfanna/video/7083667800748739882,We are sorry to disappoint 🤣 created by futuremilfanna with ’s ,38.4K,2022-4-6
https://www.tiktok.com/@mikaylanogueira/video/7432016459334815006,LETS PUT TOGETHER CODYS BOO BASKET 🥹❤️ #boobasket #halloween #marriage #love #giftgiving #halloween2024  created by Mikayla Nogueira with Mikayla Nogueira’s original sound,362.4K,1h ago
https://www.tiktok.com/@halli.smith/video/7349754455631367467,How to give amazing 🧠 they will be absolutely shocked  created by Halli Smith with Halli Smith’s original sound,12.8M,3-23
https://www.tiktok.com/@theebooblessbabe/video/7222981528932912426,“How are you so confident?”  Have you seen me? Im literally that b*t*h #fyp #doublemastectomy #positivity #afc #aestheticflatclosure #BRCA1 #bodypositivity  created by Theebooblessbabe with Chalie Boy’s I Look Good,901.8K,2023-4-17
https://www.tiktok.com/@shelovezlo/video/7095944594520624426,FAKE BODYYY created by ZLo❤️‍🩹 with ’s ,1844,2022-5-9
https://www.tiktok.com/@innart.life/video/7237105382345428270,Give good 🥺🥰 created by 💚 Inna & Artem 💙 with Lewis Capaldi’s Someone You Loved,45.5K,2023-5-25
https://www.tiktok.com/@kickassquinn/video/6994653288524172549,When I was 15 I was r4ped at a public park. (Not by my boyfriend. Story time?) #story #foryou #trending #fy created by KickAssQuinn with J. Cole’s She Knows,776.9K,2021-8-10
https://www.tiktok.com/@hotvideo4u8/video/7254532203562978603,Giving is receiving #trending #spreadlove #funny #everykiss #viral #cute #givingthanks #prank  created by hotvideo4u with Ed Sheeran’s Perfect,243,2023-7-11
